year,pop_name,state_name,reg,relative_PWE_enhancement
2019,Black,Connecticut,Northeast,1.13102600984133
2010,Pacific,Connecticut,Northeast,0.89644807590455
2005,Asian,Connecticut,Northeast,1.07026573417991
2008,Black,Connecticut,Northeast,1.10108566346837
2014,Native,Connecticut,Northeast,0.93007779858582
2003,Pacific,Connecticut,Northeast,0.868156114412777
2012,Asian,Connecticut,Northeast,1.09943906810127
2013,White,Connecticut,Northeast,0.972725925768418
2004,Pacific,Connecticut,Northeast,0.865368579467518
1999,Native,Connecticut,Northeast,0.809517286791594
2012,Black,Connecticut,Northeast,1.05459058892568
2014,White,Connecticut,Northeast,0.962994067174889
2012,Hispanic,Connecticut,Northeast,0.942822720292877
2001,Native,Connecticut,Northeast,0.818544782424354
2015,Asian,Connecticut,Northeast,1.20034180779417
2013,Hispanic,Connecticut,Northeast,0.996779681329617
2011,White,Connecticut,Northeast,0.984222851643036
2001,Pacific,Connecticut,Northeast,0.877067397906021
1999,Black,Connecticut,Northeast,1.06448393732701
2004,Hispanic,Connecticut,Northeast,0.949299751605438
2017,Black,Connecticut,Northeast,1.08854858586886
2009,Hispanic,Connecticut,Northeast,1.03158900040785
2015,Pacific,Connecticut,Northeast,0.959238588781852
2000,Native,Connecticut,Northeast,0.816660488938732
2005,Pacific,Connecticut,Northeast,0.863991339941178
2004,White,Connecticut,Northeast,0.988258480841172
2003,Black,Connecticut,Northeast,1.06901155211693
1999,Pacific,Connecticut,Northeast,0.832055493512159
2008,White,Connecticut,Northeast,0.978926633695637
2007,Asian,Connecticut,Northeast,1.01194583459653
2011,Pacific,Connecticut,Northeast,0.898582225038556
2005,Black,Connecticut,Northeast,1.12822187612826
